case_id,campaign,year,source_window_id,validation_mode_requested,V_a_ms,u_dp_ch9,depower_tape_length_m,u_s_ch9,tether_length_m,reel_speed_ms,elevation_deg,azimuth_deg,course_deg,wind_speed_horizontal_ms,wind_direction_rad,ground_tether_force_N,tether_force_kite_N,CL_ekf,CD_ekf,L_over_D_ekf,CL_wing_ekf,CD_wing_ekf,L_over_D_wing_ekf,CD_kcu_ekf,CD_bridles_ekf,CL_kite_ekf,CD_kite_ekf,L_over_D_kite_ekf,force_source_preferred,case_weight_or_n_windows,notes
askite_vwt_001,2019,2019,2019_win_010004,apparent_wind_prescribed,12.928320788706106,0.18513499435186237,1.099,-0.007642894926525299,291.08586137023184,0.3543752380952381,33.44862672756964,4.618393610208388,50.04206788670162,7.694711401187833,0.6776502682274548,1070.6675108571428,1370.4167471033736,0.7729509694107787,0.11820637239309484,6.5576950413411605,0.7729509694107787,0.11820637239309484,6.5576950413411605,0.007153693365893628,0.012341853831198513,0.7729509694107787,0.13770191959018696,5.630229684266919,tether_force_kite,11,nearest V_a bin center 13.00 m/s; 2019 depower conversion and bridle geometry are approximate
askite_vwt_002,2019,2019,2019_win_005579,apparent_wind_prescribed,14.99237267248932,0.18513499435186237,1.099,0.003989897228422618,316.4962186712549,0.866584857142857,36.74013011370312,5.444153053755753,59.96117501555103,8.84886833957782,0.4914089518684022,1515.9136071428572,1806.7361843615013,0.7169978116689716,0.12364321056389221,5.8085466388105855,0.7169978116689716,0.12364321056389221,5.8085466388105855,0.006428057747513131,0.010905622402288465,0.7169978116689716,0.1409768907136938,5.1006456868232535,tether_force_kite,31,nearest V_a bin center 15.00 m/s; 2019 depower conversion and bridle geometry are approximate
askite_vwt_003,2019,2019,2019_win_003122,apparent_wind_prescribed,17.021081244827638,0.18513499435186237,1.099,-0.01632084437779018,297.96266975307617,0.964552,35.347940892871534,3.9575857160149073,52.10644197338191,8.454614216056235,0.42946152096989143,2073.1234757142856,2295.521245927664,0.6916089333446492,0.0793895529615816,8.712161292337232,0.6916089333446492,0.0793895529615816,8.712161292337232,0.005467035894591901,0.009456391998016867,0.6916089333446492,0.09431298085419038,7.343615812791477,tether_force_kite,76,nearest V_a bin center 17.00 m/s; 2019 depower conversion and bridle geometry are approximate
askite_vwt_004,2019,2019,2019_win_008699,apparent_wind_prescribed,18.985447163924107,0.18513499435186237,1.099,0.00478502182733445,321.55255923163975,1.0966609523809525,38.793504445004324,6.504932747065403,67.10023525227815,9.127647688039904,0.3735572985030191,2805.108771428572,3123.5975317539232,0.744255224626312,0.09820139603484297,7.579741281439838,0.744255224626312,0.09820139603484297,7.579741281439838,0.0071810654070464585,0.012477461822923823,0.744255224626312,0.11785992326481325,6.317926424554166,tether_force_kite,175,nearest V_a bin center 19.00 m/s; 2019 depower conversion and bridle geometry are approximate
askite_vwt_005,2019,2019,2019_win_008929,apparent_wind_prescribed,21.010995552862976,0.1851639979048902,1.099,-0.0012765684581938256,300.43894317139825,1.1992980952380952,34.362480768951045,2.40616613977006,54.77255601236547,9.181223949223925,0.5297365435597778,3387.0244242857143,3643.7849441901344,0.7046369379265425,0.08002618571773695,8.815253293583272,0.7046369379265425,0.08002618571773695,8.815253293583272,0.00709597297797012,0.012361379517275365,0.7046369379265425,0.09948353821298243,7.0987834960535805,tether_force_kite,206,nearest V_a bin center 21.00 m/s; 2019 depower conversion and bridle geometry are approximate
askite_vwt_006,2019,2019,2019_win_014864,apparent_wind_prescribed,22.93883516999287,0.18516863292031255,1.099,-0.009010158720470608,284.0242585028897,1.3866838095238097,35.3658171760796,2.625276501166383,55.66966527898578,9.56686572432351,0.5050556775022746,4449.3782871428575,4691.152117972853,0.7384517151894766,0.07605565767394454,9.777412648825708,0.7384517151894766,0.07605565767394454,9.777412648825708,0.006904044987661481,0.012027661405949353,0.7384517151894766,0.0949873640675554,7.8193292723154615,tether_force_kite,21,nearest V_a bin center 23.00 m/s; 2019 depower conversion and bridle geometry are approximate
askite_vwt_007,2025,2025,2025_win_000316,apparent_wind_prescribed,13.253821673540395,0.4126,2.618,-0.02287142857142857,229.16002797002355,0.09428571428571428,47.85561774568876,4.638172954865264,97.75294333872941,6.3107472037033085,-0.2589060394769119,1127.7342428571428,1412.8073092111038,0.7372284039001373,0.1484725142701497,4.965656626853848,0.7372284039001373,0.1484725142701497,4.965656626853848,0.006472152175770261,0.011041683249661633,0.7372284039001373,0.16598634969558157,4.441939376088906,tether_force_kite,2,nearest V_a bin center 13.00 m/s
askite_vwt_008,2025,2025,2025_win_000054,apparent_wind_prescribed,15.011405567278175,0.4176,2.618,0.001042857142857143,259.0229449897115,0.44714285714285706,27.556541575339597,5.729594324513199,62.97070652263472,8.000998067032645,-0.3228403110099023,1867.4175857142861,2050.6559647610075,0.8092843547571716,0.2262390619209497,3.577470583155619,0.8092843547571716,0.2262390619209497,3.577470583155619,0.00638837913352108,0.010356464054720118,0.8092843547571716,0.24298390510919093,3.330917737264744,tether_force_kite,53,nearest V_a bin center 15.00 m/s
askite_vwt_009,2025,2025,2025_win_000018,apparent_wind_prescribed,16.99761446136636,0.4176,2.618,-0.04611904761904762,249.72352870596808,0.58,22.56362364634242,-1.064087534351722,-70.19249528750393,7.465394374217272,-0.19946665756915866,2554.084885714286,2687.9048282605972,0.8084508525866285,0.2192686356112579,3.6872037661227623,0.8084508525866285,0.2192686356112579,3.6872037661227623,0.006486760959325529,0.010646594937391516,0.8084508525866285,0.23640199150797497,3.4199443132703515,tether_force_kite,63,nearest V_a bin center 17.00 m/s
askite_vwt_010,2025,2025,2025_win_000575,apparent_wind_prescribed,19.015057812008155,0.4126,2.618,-0.03399047619047619,310.77230402949965,0.661904761904762,18.33464944418635,-7.093782526003508,-86.7809987613066,7.5198269024675914,-0.21479770623210823,3530.4461571428574,3638.459497230761,0.8574904044971532,0.24202892351770225,3.5429820871326103,0.8574904044971532,0.24202892351770225,3.5429820871326103,0.006558097891511355,0.010850074979249067,0.8574904044971532,0.2594370963884627,3.3052125119255913,tether_force_kite,22,nearest V_a bin center 19.00 m/s
